ID;find_path_problem;end_start_kombinace;nejlepsi_podil_ploch;pocet_pruseciku;zeleznice_delka;rozvodniceIII_delka;vodni_plohy_rozloha;relief_rozloha;zastavba_rozloha
160;0;36;37.42;5;2636.1;4241.99;186586.3;0.0;1772978.47
161;0;48;1.96;17;3198.41;4940.16;331324.7;0.0;1108570.24
162;0;16;1.1;17;12959.76;2889.74;270125.09;0.0;3341051.7
163;0;56;7.11;18;4070.64;4598.91;2010364.16;2951.1;442939.54
164;0;33;1.01;17;10703.73;2854.85;369608.21;0.0;535701.12
165;0;36;118.13;5;5364.93;3957.89;274664.82;0.0;584668.04
166;0;35;3.23;14;4270.8;4919.41;130278.59;0.0;303371.67
167;11;40;62.14;3;2650.95;7216.37;529056.9;5480.74;299932.16
168;0;12;59.92;5;3462.08;1455.73;545473.69;7.99;540379.93
169;5;12;2.41;18;12473.56;4536.71;5880.27;22980.98;7912652.09
170;0;20;1.03;23;19532.57;2517.59;143280.37;42583.58;4132706.14
171;15;66;7.17;16;2472.77;4756.08;67075.55;0.0;1017404.72
172;9;18;2.34;17;1053.86;1077.25;424852.91;66607.58;1749152.58
173;0;24;2.29;16;15732.87;3930.98;237515.47;1.0;3344590.09
174;11;42;1.95;18;1088.37;4967.51;6257.2;0.0;402133.06
175;14;60;2.71;20;2322.6;4967.23;75325.68;5.0;651887.62
176;0;16;2.27;21;1040.95;2769.68;302727.07;0.0;1195074.56
177;0;25;1.38;19;4885.54;3326.49;439848.74;0.0;3166811.8
178;0;36;5.01;19;6931.19;2973.81;1075299.7;11956.91;1492110.62
179;16;36;3.25;20;4350.01;6860.13;152905.28;421406.72;443894.54
180;0;15;6.46;14;320.96;429.24;110034.01;4.0;211059.85
181;13;54;32.37;10;2045.22;2156.84;389899.44;652934.86;1055023.95
182;0;5;324.73;3;3222.64;4266.87;518216.61;0.0;594033.52
183;9;30;403.98;2;3917.71;4706.88;106410.37;3.0;1375440.43
184;13;56;21.95;11;2107.47;5073.24;25347.35;0.0;1943061.8
185;0;6;3.36;13;3512.31;3409.76;20633.68;11768.29;2174230.0
186;0;0;0.0;0;2601.14;3100.67;84479.58;2569.41;954585.48
187;0;55;116.97;5;4871.84;6564.54;120441.49;1593.47;528690.26
188;0;7;34.53;5;21.36;6322.81;106965.22;6099.66;540125.53
189;0;10;30.65;6;5226.3;6997.66;92242.3;17141.54;1660184.74
190;0;6;154.67;3;76.66;2307.0;168584.41;0.0;521302.92
191;0;10;3.63;14;6167.31;3053.1;124790.24;0.0;339306.43
192;0;56;8.95;9;5081.79;6358.45;258435.23;0.0;257099.03
193;0;48;178.77;3;4886.71;920.43;96987.35;0.0;331618.5
194;13;56;124.31;5;2750.76;4482.12;70898.96;0.0;1066931.8
195;0;0;0.0;0;7603.4;5863.59;24167.0;2.0;345482.69
196;12;49;228.36;3;3457.29;6335.02;136825.9;0.0;999121.39
197;0;14;5.86;10;7551.38;6673.28;45664.0;12843.14;696381.35
198;0;16;7.95;13;1012.6;185.79;1229911.55;35455.77;795887.19
199;0;15;2.09;24;5436.24;1138.92;49479.84;0.0;925589.67
200;9;10;0.0;0;4417.25;5685.14;34114.8;1.0;525910.37
201;0;18;244.96;5;3956.63;5089.64;790326.94;815.82;536103.05
202;12;48;10.92;15;48.97;2130.25;11712.58;0.0;737114.75
203;0;12;1.15;14;11270.29;6240.78;322829.21;42166.78;1444362.41
204;0;40;1.07;14;1839.59;2554.87;327059.69;0.0;1051119.59
205;0;14;2.92;17;3437.19;925.21;90583.26;3383.01;2939718.54
206;0;70;5.37;13;5013.02;5117.64;127057.13;47.96;431394.28
207;0;10;6.12;13;6147.85;6103.7;7569.29;0.0;1716515.44
208;0;8;241.9;2;4939.87;5927.36;19664.36;0.0;995215.21
209;9;10;218328.11;3;6657.33;5799.59;237055.1;36843.01;986632.84
210;0;16;1.0;15;810.19;299.33;391465.91;39590.63;570940.9
211;0;5;3383.63;2;475.94;5313.32;346910.3;58.95;628492.29
212;0;24;19.0;6;4972.33;4624.03;491550.2;2030.34;786214.27
213;0;50;7.71;10;2253.1;4774.73;78818.13;2261.41;976702.69
214;0;20;4.38;13;5680.14;7093.55;551919.95;35301.83;675276.67
215;0;18;1.62;17;4226.58;2380.29;1199998.94;152955.87;222764.61
216;0;30;2.82;15;4906.53;2341.25;34788.63;2015.67;369490.43
217;0;18;69.61;3;3653.01;4027.74;519199.13;2522.6;749581.72
218;0;20;24.69;7;7934.9;4323.57;57772.78;0.0;496659.26
219;0;35;107.72;3;916.69;92.62;200052.63;20188.71;475665.77
220;0;40;180.89;5;208.14;3860.43;65096.9;0.0;655955.86
221;0;8;8.0;12;9424.8;3806.34;160892.88;0.0;888557.1
222;0;9;0.0;0;976.42;1789.63;561148.1;0.0;1291579.75
223;0;40;13.33;8;3908.0;4134.94;64218.88;2110.42;1063794.02
224;8;21;17.55;8;4923.74;5590.66;63766.4;10366.5;877972.25
225;14;63;13.07;7;4671.99;5320.63;72538.86;0.0;930943.01
226;38;132;4.52;14;2825.26;5527.59;445050.7;64213.53;804120.26
227;0;49;47.2;5;454.1;7141.73;20795.81;30.97;595896.11
